og
i
det
på
som
er
en
til
å
han
av
for
med
at
var
de
ikke
den
har
jeg
om
et
men
så
seg
hun
hadde
fra
vi
du
kan
da
ble
ut
skal
vil
ham
etter
over
ved
også
bare
eller
sa
nå
dette
noe
være
meg
mot
opp
der
når
inn
dem
kunne
andre
blir
alle
noen
sin
ha
